Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Beverages,Chocolate Shake (Large),38.63636364,9.545454545,23,36,15,74,1,85,29,380,16,141,47,2,8,5.454545455,0.9,30,0,60,15
Beverages,Shamrock Shake (Medium),41.25,10.625,19,29,12,61,1,75,24,210,9,109,36,0,0,5.8125,0.9,25,0,50,0
Beverages,Shamrock Shake (Large),37.27272727,9.545454545,23,35,15,73,1,90,29,260,11,135,45,0,0,5.227272727,0.8,30,0,60,0
Lunch,McFlurry with M&M’s Candies (Small),65,21,23,35,14,72,0.5,50,17,180,7,96,32,1,6,8.9,1.3,15,0,45,8
Lunch,McFlurry with M&M’s Candies (Medium),58.125,18.125,33,50,20,102,1,75,25,260,11,139,46,2,7,8,1.3,25,0,70,10
Lunch,McFlurry with M&M’s Candies (Snack),58.90410959,19.17808219,15,24,10,48,0,35,11,120,5,64,21,1,4,8.082191781,1.2,10,0,30,4
Lunch,McFlurry with Oreo Cookies (Small),51,15,17,26,9,44,0.5,45,14,280,12,80,27,1,4,6.4,1.2,15,0,40,8
Lunch,McFlurry with Oreo Cookies (Medium),53.07692308,15.38461538,23,35,12,58,1,55,19,380,16,106,35,1,5,6.538461538,1.2,20,0,50,10
Lunch,McFlurry with Oreo Cookies (Snack),50.74626866,14.92537313,11,17,6,29,0,30,9,190,8,53,18,1,2,6.417910448,1.2,10,0,25,6
Lunch,McFlurry with Reese's Peanut Butter Cups (Medium),57.85714286,20.71428571,32,50,15,76,1,60,20,400,17,114,38,2,9,7.357142857,1.5,20,0,60,6
Lunch,McFlurry with Reese's Peanut Butter Cups (Snack),57.74647887,21.12676056,16,25,8,38,0,30,10,200,8,57,19,1,5,7.183098592,1.4,10,0,30,4
